k_wil;nama_sls;rt;art;validasi;perlakuan;cek;catatan
1206030010000100-7                             ;DUSUN PANDUMAAN;7;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030010000100-8                             ;DUSUN PANDUMAAN;8;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030010000100-44                            ;DUSUN PANDUMAAN;44;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030010000200-4                             ;DUSUN SITAMPURUNG;4;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030011000200-10                            ;DUSUN PATOGU;10;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030011000300-1                             ;DUSUN PARASI;1;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030011000300-2                             ;DUSUN PARASI;2;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030011000300-9                             ;DUSUN PARASI;9;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030011000300-14                            ;DUSUN PARASI;14;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030011000300-19                            ;DUSUN PARASI;19;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030011000300-20                            ;DUSUN PARASI;20;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030011000300-21                            ;DUSUN PARASI;21;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030011000300-23                            ;DUSUN PARASI;23;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030011000300-24                            ;DUSUN PARASI;24;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-4                             ;DUSUN LUMBAN GALAGALA;4;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-6                             ;DUSUN LUMBAN GALAGALA;6;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-7                             ;DUSUN LUMBAN GALAGALA;7;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-8                             ;DUSUN LUMBAN GALAGALA;8;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-10                            ;DUSUN LUMBAN GALAGALA;10;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-11                            ;DUSUN LUMBAN GALAGALA;11;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-12                            ;DUSUN LUMBAN GALAGALA;12;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-14                            ;DUSUN LUMBAN GALAGALA;14;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-16                            ;DUSUN LUMBAN GALAGALA;16;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-20                            ;DUSUN LUMBAN GALAGALA;20;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-24                            ;DUSUN LUMBAN GALAGALA;24;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-28                            ;DUSUN LUMBAN GALAGALA;28;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-29                            ;DUSUN LUMBAN GALAGALA;29;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-30                            ;DUSUN LUMBAN GALAGALA;30;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-32                            ;DUSUN LUMBAN GALAGALA;32;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-33                            ;DUSUN LUMBAN GALAGALA;33;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-35                            ;DUSUN LUMBAN GALAGALA;35;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-39                            ;DUSUN LUMBAN GALAGALA;39;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-43                            ;DUSUN LUMBAN GALAGALA;43;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-44                            ;DUSUN LUMBAN GALAGALA;44;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-45                            ;DUSUN LUMBAN GALAGALA;45;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-46                            ;DUSUN LUMBAN GALAGALA;46;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-48                            ;DUSUN LUMBAN GALAGALA;48;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000100-50                            ;DUSUN LUMBAN GALAGALA;50;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000200-7                             ;DUSUN LUMBAN GALA GALA;7;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-1                             ;DUSUN SIHOBUK;1;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-2                             ;DUSUN SIHOBUK;2;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-4                             ;DUSUN SIHOBUK;4;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-5                             ;DUSUN SIHOBUK;5;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-6                             ;DUSUN SIHOBUK;6;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-7                             ;DUSUN SIHOBUK;7;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-9                             ;DUSUN SIHOBUK;9;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-10                            ;DUSUN SIHOBUK;10;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-12                            ;DUSUN SIHOBUK;12;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-15                            ;DUSUN SIHOBUK;15;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-17                            ;DUSUN SIHOBUK;17;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-19                            ;DUSUN SIHOBUK;19;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-22                            ;DUSUN SIHOBUK;22;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-23                            ;DUSUN SIHOBUK;23;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-29                            ;DUSUN SIHOBUK;29;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-30                            ;DUSUN SIHOBUK;30;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-31                            ;DUSUN SIHOBUK;31;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-33                            ;DUSUN SIHOBUK;33;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-34                            ;DUSUN SIHOBUK;34;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-35                            ;DUSUN SIHOBUK;35;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-36                            ;DUSUN SIHOBUK;36;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-37                            ;DUSUN SIHOBUK;37;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-38                            ;DUSUN SIHOBUK;38;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-40                            ;DUSUN SIHOBUK;40;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-41                            ;DUSUN SIHOBUK;41;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-43                            ;DUSUN SIHOBUK;43;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-44                            ;DUSUN SIHOBUK;44;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-45                            ;DUSUN SIHOBUK;45;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-46                            ;DUSUN SIHOBUK;46;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-47                            ;DUSUN SIHOBUK;47;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-48                            ;DUSUN SIHOBUK;48;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-50                            ;DUSUN SIHOBUK;50;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-52                            ;DUSUN SIHOBUK;52;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-55                            ;DUSUN SIHOBUK;55;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030012000300-56                            ;DUSUN SIHOBUK;56;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030013000100-25                            ;DUSUN 1;25;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030013000200-1                             ;DUSUN 2;1;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030013000200-21                            ;DUSUN 2;21;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030014000100-1                             ;DUSUN 1;1;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030014000200-8                             ;DUSUN 2;8;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030014000200-14                            ;DUSUN 2;14;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030014000200-16                            ;DUSUN 2;16;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030014000200-18                            ;DUSUN 2;18;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030014000200-20                            ;DUSUN 2;20;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030014000200-27                            ;DUSUN 2;27;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000100-33                            ;DUSUN 1 LUMBAN GINABEAN;33;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-2                             ;DUSUN 2 SIHAIL HAIL;2;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-3                             ;DUSUN 2 SIHAIL HAIL;3;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
